StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PQ1,PQ2,PQ3,PQ4,PQ5,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q18,Q16,Q17,Q52,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q23,Q24,Q25,Q26#1_1,Q26#1_2,Q26#1_3,Q26#1_4,Q26#1_5,Q26#1_6,Q26#1_7,Q27,Q28,Q29,Q30,Q31,Q14,Q32,Q33#1_1,Q33#2_1,Q34#1_1,Q34#2_1,Q35#1_1,Q35#2_1,Q54_1,Q54_2,Q54_3,Q53_1,Q55_1,Q54,Q56_1,Q56_2,Q56_4,Q56_10,Q56_6,Q56_12,Q56_8,Q56_11,Q56_13,id,RandomID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I agree that I have had the opportunity to ask any questions prior to the beginning of the survey by contacting one of the teaching staff for PSYC121, e.g. t.beesley@lancs.ac.uk, or j.towse@lancs.ac.uk","I understand that I have the right to withdraw from this survey, without having to provide a reason, with no adverse consequences to myself.",I understand that the results of this survey may be used in future teaching reports. I understand that the redacted and anonymised data resulting from my participation may be made openly available to other teachers for the purpose of learning about analysis,I understand that my participation in this survey is confidential and no information that can be used to identify myself will be published,I consent to taking part in this survey,What is your age?,In which month were you born?,What is your gender identity?,How tall are you in centimetres?,"Within your family, were you:","Where is your non term-time address (i.e., where is ""home"" for you)?","Within the UK, where do you live?",What is your highest maths qualification?,How many different countries have you visited in the world?,Thinking about your maths skills in comparison to the other students taking this class would you say your own skills are likely to be:,Thinking about your conversational and social skills in comparison to the other students taking this class would you say they are likely to be:,"Without looking it up, what do you estimate is the median annual salary in the UK (in pounds)?","This is a picture of a cow, called Penelope, next to a man (who weighs 75 kg, or 165lb). How much d","Imagine you are on a game-show and you win £300. The presenter gives you have a choice: receive an additional £100 for sure, or take a gamble offering a 50% chance to gain £200 and a 50% chance to gain nothing. Which would you choose?","Imagine you are on a different game-show and you win £500. Here you are given a choice between either losing £100 from your winnings for sure, or taking a gamble offering a 50% chance to lose nothing and a 50% chance to lose £200. Which would you choose?","How much do you think human activity contributes to climate change, as a percentage of overall climate change? Please enter a value between 0 (humans do not contribute to climate change at all) and 100 (human contribute entirely to climate change).","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Feeling nervous, anxious or on edge?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Not being able to stop or control worrying?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Worrying too much about different things?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Trouble relaxing?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Being so restless that it is hard to sit still?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Becoming easily annoyed or irritable?","The following questions are from the Generalised Anxiety Disorder questionnaire. Please understand that your data are stored anonymously and that means we cannot link any of your responses to you personally. Please also note that scoring highly on this questionnaire does not necessarily mean you have an anxiety disorder. You do not have to answer these question if you do not want to. If you have serious concerns about anxiety or your mental health in general, student based services (The Base) can put you in touch with the appropriate support systems. 
Over the last 2 weeks, how often have you been bothered
by any of the following problems? - Feeling afraid, as if something awful might happen",Control:,Compatible:,Incompatible:,"During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - Facebook","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - Instagram","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - Twitter","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - TikTok","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - Snapchat","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - YouTube","During an average week, how many days would you use the following social media platforms (at leas... - How many days on average? - Reddit",How many friends do you have on Facebook?,How many followers do you have on Instagram?,How many people do you follow on Instagram?,How many followers do you have on Twitter?,How many people do you follow on Twitter?,I am interested in pursuing a Psychology module in parabanjology,"What type of mobile phone do you have? If you have more than one phone, choose the one you use the most.","Think back over the past 7 days. Without trying to find out from your phone, try to estimate, on... - Hours - Estimated screen time","Think back over the past 7 days. Without trying to find out from your phone, try to estimate, on... - Minutes - Estimated screen time","Let's try and find out how much time you actually use your phone! For your iPhone, all you have t... - Hours - Average daily screen time","Let's try and find out how much time you actually use your phone! For your iPhone, all you have t... - Minutes - Average daily screen time",Let's try and find out how much time you actually use your phone! Android phones are all a little... - Hours - Average daily screen time,Let's try and find out how much time you actually use your phone! Android phones are all a little... - Minutes - Average daily screen time,"Out of every 100 people in UK, about how many do you think: - Are Christian?","Out of every 100 people in UK, about how many do you think: - Are Muslim?","Out of every 100 people in UK, about how many do you think: - are over 65 years old?",What percentage of the UK population do you think are immigrants to this country (i.e. not born in UK? - Percentage of population who are immigrants,"In your opinion, what percentage of girls under 16 years of age in UK get pregnant each year? - Percentage of 15-19 year-olds who give birth",Please select strongly agree to show that you are paying attention to this question,"From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Avoiding one long-distance flight (lasting six hours or more)","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Buying energy only from renewable sources (e.g. wind power, hydro- electric)","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Eating a plant-based diet","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Hang-drying their clothes, instead of using an electric or gas dryer)","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Having one fewer child","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Not having a car","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Recycling as much as possible","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Replacing a typical car with an electric car or hybrid","From this list of options, which three do you think would most reduce the greenhouse gas emissions of an individual living in one of the world’s richer countries? - Replacing traditional incandescent lightbulbs with low energy compact fluorescent (CFL) or LED lightbulbs",id,RandomID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_5""}","{""ImportId"":""QID36_6""}","{""ImportId"":""QID36_8""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26#1_1""}","{""ImportId"":""QID26#1_2""}","{""ImportId"":""QID26#1_3""}","{""ImportId"":""QID26#1_4""}","{""ImportId"":""QID26#1_5""}","{""ImportId"":""QID26#1_6""}","{""ImportId"":""QID26#1_7""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33#1_1""}","{""ImportId"":""QID33#2_1""}","{""ImportId"":""QID34#1_1""}","{""ImportId"":""QID34#2_1""}","{""ImportId"":""QID35#1_1""}","{""ImportId"":""QID35#2_1""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID61_2""}","{""ImportId"":""QID61_3""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID65""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID63_3""}","{""ImportId"":""QID63_4""}","{""ImportId"":""QID63_5""}","{""ImportId"":""QID63_6""}","{""ImportId"":""QID63_7""}","{""ImportId"":""QID63_8""}","{""ImportId"":""QID63_9""}","{""ImportId"":""id""}","{""ImportId"":""RandomID""}"
2024-10-03 04:19:48,2024-10-03 04:22:13,IP Address,51.155.192.167,100,144,True,2024-10-03 04:22:14,R_8gwKBUfIiaQ09sG,,,,,50.8058,-0.3898,anonymous,EN,No,No,No,No,No,4,January,Non-binary,109,The oldest of my siblings,UK,"North West, England",A-Level Grade A* / A,5,Well above average,Well above average,5555,5,receive £100 for sure,lose £100 for sure,5,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,5,5,5,3 days,3 days,3 days,3 days,3 days,3 days,3 days,5,5,5,5,5,Strongly disagree,iPhone,4,15,3,15,,,54,58,64,65,57,strongly disagreee,,,,,,,,,,,290756
2024-10-05 10:15:34,2024-10-05 10:33:04,IP Address,148.88.245.104,100,1050,True,2024-10-05 10:33:05,R_8MRXf6r9nX7HSrT,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,21,July,Female,161,The youngest of my siblings,UK,"North West, England",A-Level Grade A* / A,2,Well above average,Average,25000,900,receive £100 for sure,lose £100 for sure,80,Nearly every day,More than half the days,Nearly every day,More than half the days,Several days,Several days,Several days,6,4,6,0 days,6 days,0 days,0 days,7 days,2 days,0 days,,103,168,,,Agree,iPhone,4,0,5,0,,,50,15,44,33,12,strongly agree,2,4,9,6,8,1,3,5,7,,461215
2024-10-06 10:53:36,2024-10-06 11:10:19,IP Address,86.171.186.30,100,1002,True,2024-10-06 11:10:20,R_8sozSqK2CKyWBgd,,,,,53.8139,-2.7322,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,March,Female,170,The youngest of my siblings,UK,"North West, England",GCSE grade A-C,10,Average,A little below average,35000,1324,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,80,More than half the days,Nearly every day,Nearly every day,Several days,Nearly every day,More than half the days,Several days,5.74,4.88,5.58,0 days,6 days,0 days,7 days,7 days,2 days,0 days,,499,569,,,Agree,iPhone,8,30,8,15,,,50,30,30,22,28,strongly agree,4,2,6,7,8,3,9,5,1,,487542
2024-10-06 11:36:54,2024-10-06 11:47:42,IP Address,148.88.245.173,100,647,True,2024-10-06 11:47:42,R_8Ajlm6dUCbWYkut,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,February,Female,157,The youngest of my siblings,UK,"North West, England",GCSE grade A-C,5,A little below average,Average,40000,210,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,70,Nearly every day,Several days,More than half the days,Several days,Not at all,Several days,Several days,8,3,6,5 days,7 days,0 days,7 days,7 days,0 days,0 days,99,919,1649,,,Disagree,iPhone,8,30,7,15,,,44,52,60,31,31,strongly agree,5,1,6,4,7,8,2,9,3,,323754
2024-10-06 11:45:54,2024-10-06 11:57:29,IP Address,148.88.245.141,100,694,True,2024-10-06 11:57:29,R_2g7vhKhzOBRXxKe,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,August,Female,160,The youngest of my siblings,UK,"North East, England",GCSE grade A-C,13,Average,A little below average,25000,800,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,76,Nearly every day,Several days,Nearly every day,More than half the days,Several days,More than half the days,Nearly every day," 7.32",5.55,8.35,1 day,7 days,1 day,7 days,7 days,4 days,0 days,46,527,459,0,68,Disagree,iPhone,5,30,8,45,,,36,24,53,35,33,strongly agree,5,1,4,7,6,8,3,2,9,,781713
2024-10-06 12:02:01,2024-10-06 12:12:02,IP Address,148.88.245.192,100,600,True,2024-10-06 12:12:03,R_2ox4dhxMzcVcqIh,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,September,Male,191,The youngest of my siblings,UK,"North West, England",GCSE grade A-C,5,Average,A little below average,35000,270,receive £100 for sure,lose £100 for sure,95,Nearly every day,More than half the days,Nearly every day,More than half the days,Several days,More than half the days,Nearly every day,4.98,5.54,9.96,0 days,0 days,0 days,0 days,0 days,7 days,0 days,,,,,,Disagree,iPhone,5,15,6,0,,,40,20,16,35,20,strongly agree,2,5,6,7,4,3,1,8,9,,627055
2024-10-07 07:15:36,2024-10-07 07:29:17,IP Address,148.88.245.57,100,821,True,2024-10-07 07:29:18,R_8aQaeo5CkETdZhh,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,December,Male,180,The oldest of my siblings,UK,"North West, England",GCSE grade A-C,2,Average,A little above the average,23000,500,receive £100 for sure,lose £100 for sure,70,Nearly every day,Several days,Nearly every day,Nearly every day,Not at all,Not at all,Not at all,5,5,8,0 days,5 days,0 days,0 days,0 days,7 days,7 days,,36,161,,,Strongly agree,Android,7,0,,,10,0,20,5,20,5,2,strongly agree,4,2,5,6,3,1,7,8,9,,619810
2024-10-07 07:30:39,2024-10-07 07:42:21,IP Address,148.88.245.151,100,702,True,2024-10-07 07:42:21,R_8asp1pTplO8cZZT,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,November,Male,174,The oldest of my siblings,UK,"South East, England (inc. London)",GCSE grade A-C,10,Average,Average,26400,1400,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,60,Several days,Several days,More than half the days,Several days,Several days,Not at all,More than half the days,4,4,5,0 days,7 days,1 day,0 days,7 days,7 days,0 days,,426,1100,53,202,Strongly disagree,iPhone,3,15,5,15,,,35,20,39,36,3,strongly agree,1,2,3,6,4,8,5,7,9,,896295
